KDA,radiant_win

24,False

19,False

24,False

18,False

24,False

14,False

27,False

12,False

30,False

21,False

-1,False

-1,False

-2,False

-3,False

1,False

12,False

15,False

12,False

14,False

10,False

8,False

2,False

11,False

9,False

-2,False

20,False

28,False

29,False

20,False

25,False

23,False

20,False

12,False

16,False

28,False

10,False

14,False

3,False

10,False

3,False

8,True

14,True

10,True

16,True

12,True

-4,True

-3,True

-2,True

-4,True

-5,True

20,True

18,True

19,True

24,True

21,True

2,True

12,True

10,True

5,True

1,True

19,True

13,True

4,True

14,True

15,True

3,True

7,True

1,True

-1,True

4,True

23,True

24,True

14,True

22,True

13,True

-1,True

1,True

0,True

1,True

-1,True

7,True

12,True

20,True

11,True

10,True

-1,True

-3,True

2,True

2,True

1,True

2,False

8,False

-5,False

10,False

9,False

14,False

10,False

11,False

18,False

12,False

10,False

8,False

14,False

10,False

3,False

4,False

8,False

14,False

14,False

12,False

11,False

6,False

6,False

4,False

6,False

15,False

25,False

19,False

22,False

18,False

5,True

16,True

18,True

25,True

20,True

0,True

8,True

12,True

13,True

13,True

4,False

9,False

2,False

6,False

6,False

10,False

18,False

17,False

23,False

16,False

20,True

29,True

20,True

20,True

31,True

2,True

11,True

-4,True

4,True

-3,True

8,False

10,False

11,False

10,False

7,False

17,False

26,False

18,False

28,False

14,False

3,False

10,False

1,False

6,False

3,False

15,False

19,False

16,False

19,False

14,False

7,False

4,False

9,False

11,False

5,False

12,False

13,False

27,False

21,False

17,False

-1,False

-5,False

0,False

4,False

3,False

12,False

15,False

19,False

15,False

19,False

5,False

7,False

6,False

3,False

1,False

10,False

16,False

20,False

12,False

21,False

5,False

9,False

7,False

10,False

7,False

21,False

12,False

23,False

23,False

20,False

12,False

7,False

9,False

14,False

12,False

16,False

25,False

17,False

24,False

13,False

-2,False

1,False

1,False

3,False

4,False

24,False

15,False

21,False

19,False

16,False

0,False

6,False

4,False

0,False

4,False

27,False

12,False

17,False

16,False

25,False

7,True

14,True

22,True

14,True

13,True

4,True

0,True

2,True

4,True

9,True

2,False

6,False

2,False

1,False

3,False

11,False

12,False

15,False

13,False

17,False

18,False

1,False

3,False

13,False

6,False

20,False

29,False

25,False

19,False

29,False

13,True

23,True

25,True

28,True

27,True

9,True

10,True

2,True

-1,True

4,True

-6,False

2,False

0,False

-4,False

1,False

20,False

11,False

13,False

17,False

15,False

13,False

14,False

16,False

8,False

14,False

11,False

12,False

20,False

10,False

16,False

24,True

28,True

21,True

15,True

21,True

4,True

8,True

-3,True

0,True

3,True

18,True

18,True

8,True

14,True

13,True

5,True

-2,True

0,True

-2,True

5,True

19,True

14,True

16,True

21,True

18,True

10,True

1,True

0,True

11,True

5,True

3,True

16,True

12,True

17,True

11,True

6,True

8,True

5,True

-1,True

7,True

13,True

19,True

16,True

23,True

21,True

11,True

8,True

7,True

16,True

6,True

28,True

31,True

18,True

22,True

19,True

7,True

5,True

-1,True

7,True

3,True

18,True

20,True

11,True

10,True

16,True

10,True

6,True

4,True

9,True

8,True

17,True

16,True

14,True

15,True

18,True

2,True

3,True

4,True

7,True

4,True

26,True

20,True

15,True

14,True

27,True

12,True

-3,True

2,True

1,True

6,True

9,True

23,True

12,True

23,True

15,True

26,True

18,True

22,True

23,True

20,True

3,False

11,False

3,False

6,False

2,False

35,False

27,False

13,False

18,False

35,False

15,True

12,True

6,True

17,True

10,True

5,True

6,True

7,True

6,True

10,True

3,False

4,False

2,False

-4,False

-3,False

9,False

7,False

15,False

14,False

17,False

17,True

10,True

21,True

10,True

27,True

7,True

7,True

2,True

4,True

13,True

16,True

9,True

12,True

13,True

14,True

1,True

9,True

6,True

11,True

0,True

10,False

7,False

9,False

6,False

8,False

5,False

11,False

16,False

16,False

15,False

16,True

19,True

11,True

7,True

11,True

5,True

10,True

6,True

12,True

10,True

-2,False

2,False

4,False

6,False

7,False

10,False

8,False

11,False

16,False

11,False

3,False

10,False

-2,False

5,False

8,False

23,False

15,False

25,False

29,False

23,False

0,False

-2,False

1,False

0,False

3,False

18,False

12,False

11,False

20,False

15,False

13,True

14,True

9,True

15,True

10,True

0,True

5,True

-8,True

3,True

6,True

3,False

4,False

8,False

15,False

12,False

9,False

13,False

9,False

16,False

17,False

7,False

9,False

13,False

6,False

8,False

11,False

14,False

14,False

19,False

18,False

8,True

12,True

8,True

13,True

9,True

-1,True

-1,True

3,True

1,True

-4,True

15,False

10,False

14,False

15,False

18,False

15,False

22,False

18,False

16,False

17,False

0,False

-1,False

-4,False

-1,False

3,False

9,False

16,False

14,False

16,False

10,False

19,True

15,True

17,True

20,True

17,True

4,True

15,True

17,True

19,True

11,True

15,True

17,True

22,True

26,True

20,True

4,True

12,True

12,True

11,True

5,True

11,True

7,True

9,True

14,True

6,True

-3,True

0,True

2,True

-3,True

-2,True

21,True

20,True

13,True

23,True

22,True

9,True

7,True

8,True

11,True

-6,True

18,True

16,True

17,True

18,True

7,True

8,True

7,True

6,True

7,True

1,True

18,True

14,True

6,True

11,True

16,True

1,True

3,True

2,True

0,True

10,True

18,True

18,True

23,True

13,True

5,True

6,True

3,True

5,True

4,True

5,True

-4,False

-3,False

7,False

9,False

12,False

16,False

15,False

8,False

29,False

24,False

15,True

20,True

22,True

9,True

18,True

4,True

0,True

2,True

6,True

7,True

15,True

14,True

13,True

14,True

10,True

10,True

18,True

14,True

17,True

14,True

6,False

12,False

4,False

11,False

11,False

16,False

18,False

23,False

28,False

30,False

8,False

11,False

16,False

15,False

3,False

15,False

25,False

31,False

20,False

26,False

14,True

18,True

24,True

16,True

11,True

1,True

1,True

-3,True

2,True

5,True

0,False

-2,False

0,False

1,False

0,False

3,False

4,False

14,False

10,False

10,False

-1,False

0,False

-1,False

1,False

3,False

26,False

24,False

11,False

24,False

13,False

18,True

25,True

18,True

18,True

16,True

5,True

2,True

11,True

4,True

9,True

7,False

6,False

1,False

6,False

5,False

10,False

9,False

11,False

2,False

6,False

28,True

28,True

22,True

24,True

30,True

3,True

9,True

6,True

9,True

13,True

4,False

3,False

6,False

12,False

11,False

15,False

22,False

11,False

11,False

10,False

16,True

17,True

14,True

3,True

19,True

14,True

3,True

2,True

10,True

9,True

1,True

5,True

5,True

1,True

2,True

-1,True

2,True

-1,True

1,True

4,True

11,True

18,True

9,True

21,True

23,True

4,True

-4,True

3,True

6,True

1,True

17,True

22,True

32,True

20,True

24,True

19,True

22,True

15,True

-3,True

14,True

4,False

-3,False

-3,False

3,False

-4,False

22,False

21,False

20,False

22,False

18,False

14,False

1,False

2,False

2,False

5,False

24,False

16,False

19,False

20,False

21,False

15,False

31,False

29,False

16,False

33,False

28,False

35,False

41,False

41,False

43,False

4,False

17,False

24,False

11,False

20,False

29,False

28,False

41,False

36,False

38,False

4,False

-2,False

9,False

-1,False

7,False

11,False

6,False

15,False

19,False

15,False

6,False

4,False

4,False

6,False

7,False

25,False

23,False

24,False

18,False

27,False

9,True

9,True

10,True

7,True

11,True

1,True

1,True

-1,True

-1,True

-1,True

12,True

13,True

11,True

20,True

23,True

1,True

-1,True

-3,True

5,True

-2,True

16,True

13,True

10,True

21,True

11,True

13,True

11,True

26,True

24,True

15,True

13,False

18,False

17,False

11,False

22,False

4,False

8,False

4,False

7,False

12,False

3,False

0,False

2,False

1,False

3,False

13,False

19,False

14,False

10,False

20,False

12,True

23,True

12,True

19,True

19,True

2,True

6,True

0,True

9,True

5,True

9,False

15,False

14,False

19,False

15,False

23,False

27,False

21,False

22,False

27,False

14,True

12,True

18,True

6,True

16,True

13,True

17,True

20,True

21,True

21,True

-2,False

0,False

-8,False

2,False

3,False

13,False

12,False

14,False

18,False

18,False

-6,False

-1,False

-5,False

2,False

1,False

21,False

26,False

29,False

24,False

14,False

14,True

8,True

13,True

9,True

16,True

-3,True

0,True

1,True

-1,True

1,True

9,False

24,False

16,False

20,False

14,False

20,False

2,False

13,False

17,False

9,False

6,True

16,True

29,True

24,True

23,True

7,True

18,True

30,True

22,True

22,True

1,False

-3,False

8,False

5,False

4,False

14,False

24,False

17,False

6,False

16,False

16,True

13,True

10,True

13,True

8,True

4,True

9,True

5,True

4,True

2,True

18,True

17,True

17,True

14,True

13,True

19,True

25,True

