hero,radiant_win,patch
Weaver,TRUE,
Dazzle,TRUE,
Legion Commander,FALSE,
Axe,TRUE,
Bounty Hunter,FALSE,
Crystal Maiden,TRUE,
Dark Seer,FALSE,
Outworld Devourer,FALSE,
Silencer,TRUE,
Alchemist,FALSE,
Weaver,TRUE,
Naga Siren,TRUE,
Crystal Maiden,FALSE,
Legion Commander,TRUE,
Outworld Devourer,FALSE,
Nyx Assassin,TRUE,
Axe,FALSE,
Silencer,FALSE,
Witch Doctor,TRUE,
Io,FALSE,
Shadow Demon,TRUE,
Lone Druid,TRUE,
Vengeful Spirit,FALSE,
Lifestealer,TRUE,
Dazzle,FALSE,
Leshrac,TRUE,
Sand King,FALSE,
Shadow Fiend,FALSE,
Nyx Assassin,TRUE,
Juggernaut,FALSE,
Clockwerk,TRUE,
Dazzle,TRUE,
Luna,FALSE,
Disruptor,TRUE,
Bristleback,FALSE,
Invoker,TRUE,
Templar Assassin,FALSE,
Spirit Breaker,FALSE,
Slark,TRUE,
Witch Doctor,FALSE,
Earth Spirit,TRUE,
Ember Spirit,TRUE,
Crystal Maiden,FALSE,
Weaver,TRUE,
Dark Seer,FALSE,
Oracle,TRUE,
Slardar,FALSE,
Juggernaut,FALSE,
Legion Commander,TRUE,
Anti-Mage,FALSE,
Pudge,TRUE,
Clockwerk,TRUE,
Rubick,FALSE,
Witch Doctor,TRUE,
Enigma,FALSE,
Vengeful Spirit,TRUE,
Ember Spirit,FALSE,
Puck,FALSE,
Terrorblade,TRUE,
Gyrocopter,FALSE,
Rubick,TRUE,
Ember Spirit,TRUE,
Disruptor,FALSE,
Magnus,TRUE,
Weaver,FALSE,
Ogre Magi,TRUE,
Centaur Warrunner,FALSE,
Outworld Devourer,FALSE,
Wraith King,TRUE,
Anti-Mage,FALSE,
Shadow Demon,TRUE,
Elder Titan,TRUE,
Crystal Maiden,FALSE,
Timbersaw,TRUE,
Enigma,FALSE,
Ember Spirit,TRUE,
Invoker,FALSE,
Shadow Fiend,FALSE,
Doom,TRUE,
Wraith King,FALSE,
Slardar,TRUE,
Earth Spirit,TRUE,
Rubick,FALSE,
Io,TRUE,
Luna,FALSE,
Invoker,TRUE,
Phantom Assassin,FALSE,
Drow Ranger,FALSE,
Tusk,TRUE,
Broodmother,FALSE,
Slardar,TRUE,
Bane,TRUE,
Beastmaster,FALSE,
Dazzle,TRUE,
Luna,FALSE,
Underlord,TRUE,
Bounty Hunter,FALSE,
Terrorblade,FALSE,
Zeus,TRUE,
Templar Assassin,FALSE,
Ogre Magi,TRUE,
Lich,TRUE,
Centaur Warrunner,FALSE,
Rubick,TRUE,
Luna,FALSE,
Puck,TRUE,
Undying,FALSE,
Drow Ranger,FALSE,
Medusa,TRUE,
Phantom Assassin,FALSE,
Keeper of the Light,TRUE,
Rubick,TRUE,
Centaur Warrunner,FALSE,
Brewmaster,TRUE,
Dazzle,FALSE,
Crystal Maiden,TRUE,
Weaver,FALSE,
Slark,FALSE,
Shadow Fiend,TRUE,
Outworld Devourer,FALSE,
Lone Druid,TRUE,
Slardar,TRUE,
Dazzle,FALSE,
Rubick,TRUE,
Batrider,FALSE,
Windranger,TRUE,
Sniper,FALSE,
Nyx Assassin,FALSE,
Mirana,TRUE,
Meepo,FALSE,
Luna,TRUE,
Shadow Demon,TRUE,
Ember Spirit,FALSE,
Lion,TRUE,
Faceless Void,FALSE,
Tidehunter,TRUE,
Rubick,FALSE,
Vengeful Spirit,FALSE,
Shadow Fiend,TRUE,
Terrorblade,FALSE,
Lone Druid,TRUE,
Brewmaster,TRUE,
Keeper of the Light,FALSE,
Rubick,TRUE,
Crystal Maiden,FALSE,
Centaur Warrunner,TRUE,
Invoker,FALSE,
Alchemist,FALSE,
Spirit Breaker,TRUE,
Lycan,FALSE,
Rubick,TRUE,
Disruptor,TRUE,
Sand King,FALSE,
Dark Seer,TRUE,
Necrophos,FALSE,
Oracle,TRUE,
Warlock,FALSE,
Zeus,FALSE,
Faceless Void,TRUE,
Ursa,FALSE,
Ogre Magi,TRUE,
Rubick,TRUE,
Undying,FALSE,
Timbersaw,TRUE,
Nyx Assassin,FALSE,
Witch Doctor,TRUE,
Ursa,FALSE,
Templar Assassin,FALSE,
Vengeful Spirit,TRUE,
Sniper,FALSE,
Earth Spirit,TRUE,
Weaver,TRUE,
Vengeful Spirit,FALSE,
Rubick,TRUE,
Ogre Magi,FALSE,
Nyx Assassin,TRUE,
Axe,FALSE,
Ember Spirit,FALSE,
Clinkz,TRUE,
Troll Warlord,FALSE,
Slardar,TRUE,
Shadow Demon,TRUE,
Luna,FALSE,
Weaver,TRUE,
Mirana,FALSE,
Enigma,TRUE,
Beastmaster,FALSE,
Oracle,FALSE,
Tinker,TRUE,
